"figure_id","current_grade","current_status","audit_class","evidence_basis","key_finding","likely_cause","minimal_fix","mentor_facing_action","comparison_asset"
"2.1","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","概念几何与原图语义一致，但属于重绘示意图，不是数值复现。","有意采用示意几何。","保留 proxy 标签，并在图注写明非数值等价。","可作为方法示意，不计入论文图数值复现率。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_1_comparison.png"
"2.2","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","共线平动点示意关系基本一致。","有意采用示意几何。","保留 proxy 标签。","可作为示意图使用。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_2_comparison.png"
"2.3","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","五个平动点的相对位置与原图一致，未见明显错误。","仅存在样式和标注位置差异。","无需优先修改；保留边界说明。","可展示，但不宣称像素级复现。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_3_comparison.png"
"2.4","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","两组零速度曲线拓扑与禁行区关系基本一致。","视角、灰度与标注不同。","低优先级统一样式即可。","可展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_4_comparison.png"
"2.5","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","概念含义保留，但势面形状、视角和构图与原图差异较大。","有意采用代理势面。","明确标为概念重绘；若导师要求外观一致，再重做构图。","仅作示意，不能称为原图数值复现。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_5_comparison.png"
"2.6","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","三组系统的零速度曲线及相对尺度关系基本一致。","主要是排版和线宽差异。","无需优先修改。","可展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_6_comparison.png"
"2.7","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","面内和面外线性运动形状一致，未见拓扑错误。","视角和坐标轴比例略有差异。","低优先级调整视角。","可展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_7_comparison.png"
"2.8","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","Lissajous 线性运动的三视图/展开关系基本一致。","样式和采样密度不同。","无需优先修改。","可展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_8_comparison.png"
"2.9","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","单点差分校正流程示意与原图一致。","有意示意化。","保留 proxy 标签。","可作为方法示意。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_9_comparison.png"
"2.10","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","多段射击弧段示意与原图语义一致。","有意示意化。","保留 proxy 标签。","可作为方法示意。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_10_comparison.png"
"2.11","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","初值与校正解曲线关系基本一致。","数值来源和绘图范围与论文未做逐点锁定。","保留边界；低优先级做曲线数字化比较。","可展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_11_comparison.png"
"2.12","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","自然参数与伪弧长延拓示意关系一致。","有意示意化。","保留 proxy 标签。","可作为方法示意。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_12_comparison.png"
"2.13","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","三类周期轨道族均出现，但 Lyapunov/halo/vertical 的范围和相对尺度与原图不完全一致。","使用项目自身延拓族而非论文原始节点。","若需升级，按论文坐标范围和代表成员做逐族锚点比较。","可带边界展示，不宜称严格等价。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_13_comparison.png"
"2.14","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","稳定/不稳定流形的主要拓扑和方向与原图接近。","采样密度与投影视角不同。","低优先级统一相位采样和相机。","可展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_14_comparison.png"
"2.15","A","accepted","P2_ACCEPTABLE_BOUNDARY","visual+source","稳定性指数曲线形状和数量级与原图一致，未见明显错误。","仅缺少论文逐点数据核对。","保留当前图；增加数字化点误差即可。","可展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_15_comparison.png"
"3.1","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","二维环面和两个角变量的概念关系一致。","有意使用几何代理。","保留 proxy 标签。","可作为方法示意。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_1_comparison.png"
"3.2","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","不变曲线、返回映射和旋转角示意一致。","有意使用几何代理。","保留 proxy 标签。","可作为方法示意。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_2_comparison.png"
"3.3","C","diagnostic partial","P2_ACCEPTABLE_BOUNDARY","visual+diagnostic","七点离散曲线和旋转后的残差示意与原图非常接近，但证据层仍是诊断级。","图形复现较好，数值验收等级尚未提升。","保留 diagnostic 标签并补充对应残差定义。","可展示为诊断图。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_3_comparison.png"
"3.4","D","proxy","P3_SCHEMATIC_PROXY","declared_proxy+visual","多段射击 patch curve 概念基本一致。","有意使用几何代理。","保留 proxy 标签。","可作为方法示意。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_4_comparison.png"
"3.5","A","accepted","P0_OBVIOUS_MISMATCH","visual+measured+source","复现曲面出现明显暗缝、白缝和三角楔形遮挡；首个 12.03 d 成员 y/z 振幅为 33411.7/25062.1 km，而论文为 34466/28547 km。","曲面网格/相位重采样连接存在可视伪影，且早期分支锚点未达到论文振幅。","先做时相网格邻接与闭合诊断，再修复首锚点并重新渲染四个成员。","修复前从导师版中撤下或标为失败。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_5_comparison.png"
"3.6","A","accepted","P0_OBVIOUS_MISMATCH","visual+measured+paper_text","早期分支的 z 振幅明显偏低；12.03 d 附近比论文低约 3485 km，A 级并不代表论文曲线等价。","分支拼接和首锚点偏差被残差/Jacobi 内部门槛掩盖。","数字化论文两条曲线，建立 mapping-time 点对点误差门槛，并重新校正早期分支。","修复前不得以 A 级向导师声称复现正确。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_6_comparison.png"
"3.7","B","boundary","P0_OBVIOUS_MISMATCH","visual+source","后两个准垂直环面出现与原图不同的折叠、扁平瓣和拓扑外观。","当前延拓成员/曲面参数化未覆盖论文对应族形。","锁定论文四个 mapping time 的成员，检查曲面二维秩、闭合和投影后再渲染。","修复前标为明显不等价。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_7_comparison.png"
"3.8","B","boundary","P2_ACCEPTABLE_BOUNDARY","visual+source","两条振幅趋势和振幅关系总体与原图一致。","端点和采样仍是项目内部族。","增加论文曲线数字化误差，保留边界。","可带边界展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_8_comparison.png"
"3.9","C","diagnostic partial","P1_MATERIAL_PARTIAL","visual+source+metadata","准 halo 分支仅覆盖部分范围并用 proxy tail 延伸；脚本说明有 proxy tail，但登记表 uses_proxy=false。","真实延拓未覆盖论文完整低频率段，且元数据未同步。","先修正 proxy 元数据；延拓完整分支后再替换尾部。","只能作为部分结果展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_9_comparison.png"
"3.10","C","diagnostic partial","P1_MATERIAL_PARTIAL","visual+closure_audit","q=2、q=3 可接受，q=8 单周期闭合失败且几何与原图有差异。","高不稳定 q=8 成员的单弧传播不闭合。","保留 q=2/q=3；将 q=8 单独标为 boundary，继续多重射击/稳定传播验证。","不能把三例整体称为通过。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_10_comparison.png"
"3.11","C","diagnostic partial","P1_MATERIAL_PARTIAL","visual+diagnostic","Poincare 截面呈近理想同心环，缺少原图的岛结构和非线性形变。","当前截面是假设/诊断构造，未复现论文采样动力学。","用实际轨迹穿越事件生成截面并核对截面定义、方向和能量。","只可作为诊断，不可作为论文等价图。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_11_comparison.png"
"3.12","A","accepted","P0_OBVIOUS_MISMATCH","visual+source","原图是带中心孔的环面，复现的 (b)-(d) 近似实心椭圆片/圆盘，二维拓扑明显错误。","time×phase 曲面连接、参数排序或重采样造成自交/填孔；当前验收只检查数值残差。","增加二维秩、环向闭合、邻接跳变和中心孔保持测试后重画。","修复前从导师版撤下。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_12_comparison.png"
"3.13","A","accepted","P0_OBVIOUS_MISMATCH","visual+source","振幅曲线尤其 z 振幅高端与论文有明显偏差，当前终点约 86197 km，原图约 93000 km。","固定频率族未到达论文对应幅值，且内部残差门槛未约束论文曲线。","数字化论文曲线，延拓到同一 mapping time/JC，并建立端点与曲线误差门槛。","修复前不得按 A 级宣传等价。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_13_comparison.png"
"3.14","A","accepted","P2_ACCEPTABLE_BOUNDARY","visual+source","四个准垂直成员的总体形状和族演化与原图接近。","仍缺论文逐点状态。","保留图，补充代表成员的幅值/JC/时间逐点比较。","可展示，建议把 A 解释为内部数值通过。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_14_comparison.png"
"3.15","A","accepted","P2_ACCEPTABLE_BOUNDARY","visual+source","JC 和 mapping time 趋势与原图接近，未见明显反向或数量级错误。","缺少论文曲线数字化门槛。","低优先级补点对点误差。","可展示。","reports/mccarthy2018_figure_comparison/assets/comparison/fig_3_15_comparison.png"
