target_id,paper_page,pdf_page,paper_caption,caption_status,source_pdf,source_pdf_sha256,crop_method,crop_status,crop_bbox_pdf_points,render_zoom,nominal_dpi,embedded_raster_note,asset,asset_exists,asset_bytes,width_px,height_px,asset_sha256,stage_b_quality
2.1,8,24,Figure 2.1. Geometry in the three body systems; deﬁnition of inertial and rotating reference frames.,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[194.399,254.904,453.601,527.094]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_1_original.png,True,104361,1173,1227,734574ca27e0ba5c08873f1ffa477f66a2ba68803a96182ca418520ff0680dd3,pass
2.2,14,30,"Figure 2.2. Geometry to solve for locations of collinear libration points in CR3BP using γ1, γ2, and γ3",pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[140.399,71.011,507.607,166.028]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_2_original.png,True,19802,1626,483,fde507dfc748385bd42b01747badd50380334ccce1b07b5fe908cd1906e32751,pass
2.3,14,30,Figure 2.3. Relative locations of the ﬁve libration points as viewed in the rotating frame,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[162.0,373.915,485.988,621.116]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_3_original.png,True,69647,1445,1122,fb065b65d32270e0bf1bf6316970aadc85c7b92d78df89ad470f59c9aec9a728,pass
2.4,16,32,Figure 2.4. Zero-Velocity Curves in the Earth-Moon system for (a) JC = 3.16 and (b) JC = 3.18.,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[112.575,298.24,531.523,478.241]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_4_original.png,True,182457,1844,840,b493e8627a7a67d768f352bf4093d8dd75f1bfb58ff900ba69d4c043a9853cb7,pass
2.5,17,33,"Figure 2.5. Zero-Velocity Surface (ZVS) in the Earth-Moon system, JC = 3.16.",pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[162.0,71.009,486.008,312.818]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_5_original.png,True,370044,1445,1099,7980cdb87d8b6053c1b0dcab46f2a0d7db4d010251eb1627af4170da9e822668,pass
2.6,18,34,Figure 2.6. ZVCs for JC = JCL2+JCL1,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_union,"[115.706,71.007,532.295,439.548]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_6_original.png,True,528048,1834,1632,d5910c6c45d19a499806af86a9c822122a66093be191497c0ab8ab3f2d827cc7,pass
2.7,24,40,Figure 2.7. Decoupled out-of-plane (blue) and in-plane (red) varia- tions from the L1 point in the Earth-Moon system,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[216.0,71.008,432.001,256.223]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_7_original.png,True,81805,991,862,b765282d8d5d148626723fd0321c01ffd816a5b29517d83ddb0293952f934719,pass
2.8,24,40,"Figure 2.8. (a) 3D View, (b) ˆxˆy plane projection and (c) ˆyˆz plane projection of linearized Lissajous motion around the Earth-Moon L1 equilibrium point",pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[109.876,333.265,534.221,506.067]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_8_original.png,True,981938,1866,810,9f977acc9be84db78484650d78d1c8be3fabcf90a2438572c345ffe10133feb8,pass
2.9,29,45,Figure 2.9. Single shooting diﬀerential corrections targeting scheme,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[162.0,505.217,486.003,638.196]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_9_original.png,True,38754,1445,643,c90853aa042ce06876421208e2134195ece4c4120964ab19358fdbc0b0ac7573,pass
2.10,31,47,Figure 2.10. Trajectory arcs in multiple shooting scheme,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[108.0,356.274,539.997,436.222]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_10_original.png,True,58111,1898,420,fc1ae7f87f450abb099c517a5613088d350bf6055a06623286a05a9bf0d5bc52,pass
2.11,34,50,Figure 2.11. Initial guess (red) and converged solution (blue) in a perpendicular crossing diﬀerential corrections scheme for an Earth- Moon L2 Lyapunov orbit,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[205.199,431.774,442.796,613.608]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_11_original.png,True,81139,1082,848,2c955dea1d824ff8cca336d4b59dc1e904b0a1058282f02edd7059ec712614b3,pass
2.12,39,55,Figure 2.12. (a) Natural parameter continuation and (b) pseudo- arclength continuation schemes,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[189.604,71.01,454.495,197.01]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_12_original.png,True,60103,1196,613,2946251f4353bd34301e99d3c8e790a399a9849fff116ea40c66ccda5b3cd18d,pass
2.13,40,56,"Figure 2.13. L2 Lyapunov, Halo and Vertical orbits in the Jupiter- Europa system (µ = 2.528×10−5), constructed using pseudo-arclength continuation",pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[205.199,389.219,442.798,609.037]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_13_original.png,True,181064,1082,1007,95fda772f28adfe5eb6a0b3d10473765ebb4ed080cc970b8ead6d87fb95a1e7a,pass
2.14,43,59,Figure 2.14. Stable (blue) and unstable (red) manifold trajectories from an L1 Lyapunov orbit. The ZVCs for the Jacobi Constant (JC = 3.1827) of this orbit are deﬁned by the black curve.,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[162.0,255.566,486.004,488.566]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_14_original.png,True,761051,1445,1062,bd2677c6078a8aac7b1bbaf8e9be65ba72f49acac04f2ce0c5e9c65c586cf316,pass
2.15,45,61,Figure 2.15. Stability index for a subset of the Earth-Moon L2 halo family,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[118.801,206.705,529.2,520.649]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_2_15_original.png,True,114857,1808,1402,b5ab62d36e2657b2cda6883805211c3fb30ca05d27cdb272219364ecef093aff,pass
3.1,48,64,Figure 3.1. 2-dimensional torus deﬁned by the product of the red and blue circles,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[162.0,71.01,485.993,290.481]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_1_original.png,True,222762,1445,1006,efc66b9f81740caaf6191753df520fc7e3cf06a2c7c4fb1229d675a8bbc3a90e,pass
3.2,49,65,"Figure 3.2. 2-dimensional torus with the invariant curve (blue), the rotation angle ρ, and a single trajectory (yellow) propagated to the ﬁrst return to the invariant curve",pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[162.0,71.008,485.995,270.774]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_2_original.png,True,193556,1445,923,242b9bf0c6df1dab75378d0fba02282ab5a3bf8fc373f2d4d69030dce893d4d4,pass
3.3,49,65,"Figure 3.3. A set of 7 discretized states (yellow) on the invariant curve, represented by the blue circle. The invariant curve is associated with the stroboscopic map deﬁned at θ0. The initial location of the states is represented in (a). The ﬁrst return to the map, at time T0, is represented in (b), where the states have rotated by ρ. The nearby periodic orbit is represented by the ﬁxed point on the map.",pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[151.106,447.446,492.991,555.445]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_3_original.png,True,89212,1520,537,21848289aca14ba70e32bb2e56d9299f61d37c06bcfcd8c578a60e6c83b6c2ac,pass
3.4,62,78,Figure 3.4. Representation of a patch curves along a torus used for a multiple shooting torus correction scheme,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[162.0,420.78,486.008,627.51]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_4_original.png,True,221869,1445,952,8252daaf0ce7b1fe6af26fc5ff8a98cf062c75c4900d065508556615452c6a2d,pass
3.5,68,84,"Figure 3.5. Four quasi-halo tori projected into conﬁguration space in a constant energy family (JC = 3.1389) with the central periodic orbit in blue. The stroboscopic mapping times for each orbit are (a) 12.03 days, (b) 12.09 days, (c) 12.26 days, and (d) 12.40 days",pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_union,"[119.743,71.002,526.306,525.947]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_5_original.png,True,651087,1792,1994,a9fc5baf4f91ffbc278acb4d6f6e6ebca2d1bb04b588a6213b72be42a9f27941,pass
3.6,69,85,Figure 3.6. (a) y- and z-amplitude of the constant energy quasi-halo family for JC = 3.1389 in the Earth-Moon system as a function of the stroboscopic mapping time. (b) The amplitude ratio of the family.,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[113.256,71.017,530.841,215.01]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_6_original.png,True,100287,1838,689,a6b00766f472b36c2b57457d7e2be4b14588c3897da7f775adb6bdf9c04a8514,pass
3.7,70,86,"Figure 3.7. Four quasi-vertical tori projected into conﬁguration space in a constant energy family (JC = 3.1389) with the central periodic orbit in blue. The stroboscopic mapping times for each orbit are (a) 12.87 days, (b) 12.85 days, (c) 12.78 days, and (d) 12.66 days",pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_union,"[124.564,70.997,519.533,525.947]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_7_original.png,True,618137,1743,1994,8b32b1dae1ca958d73b64a3344da587a478adf9085dc44e764aaf2da8634b00c,pass
3.8,71,87,Figure 3.8. (a) y- and z-amplitude of the constant energy quasi- vertical family for JC = 3.1389 in the Earth-Moon system as a func- tion of the stroboscopic mapping time. (b) The amplitude ratio of the family.,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[110.181,71.007,533.922,225.81]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_8_original.png,True,100331,1864,734,108aa8f872faa9b8e2363bf4c0a6f56a7c0b7fbf0ab8418407ec99d9c881e493,pass
3.9,71,87,Figure 3.9. Frequency ratio as a function of stroboscopic mapping time for a constant energy (a) quasi-halo family and (b) quasi-vertical family.,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[114.827,348.436,529.268,503.233]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_9_original.png,True,123340,1824,734,07c439646b2d158b51fe32282607207da3873845ed54e9d662b7d950850899c6,pass
3.10,72,88,"Figure 3.10. Example of (a) a period-2 halo orbit, (b) a period-3 halo orbit, and (c) a period-8 halo orbit.",pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_union,"[112.203,71.014,535.798,417.947]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_10_original.png,True,294224,1863,1541,c158a9e5c4ef030cae9cd309bdbc266c6184bea044eb25c43fc0b376738b1673,pass
3.11,73,89,Figure 3.11. (a) Poincar´e map at z = 0 for constant energy (JC = 3.1389) quasi-halo and quasi-vertical families. (b) 3D view of central periodic orbits and Poinca´e map of associated quasi-periodic orbit families.,pdf_caption_block,C:\Users\wwh20\Desktop\复现论文\2018_McCarthy_拟周期轨道.pdf,e434aeabb749dc34b2b05d12bfd77d7afe940a0e04eee1a6b20c2e1c4206456a,PyMuPDF page render + embedded-image vertical-band crop,embedded_band_exact,"[108.0,71.006,536.282,315.81]",4.2,302.4,render zoom does not create detail absent from embedded raster source,reports/mccarthy2018_figure_comparison/assets/original/fig_3_11_original.png,True,571405,1883,1112,20e09fab8857ff35c0b24a1a6cffde2e721ac9d17aa45dfb9d6bda4bcd846fa9,pass
