target_id,chapter,paper_figure_number,paper_page,pdf_page,paper_caption,caption_status,figure_type,project_title
2.1,2,Fig. 2.1,8,24,Figure 2.1. Geometry in the three body systems; deﬁnition of inertial and rotating reference frames.,pdf_caption_block,schematic,Geometry in the three-body system and reference frames
2.2,2,Fig. 2.2,14,30,"Figure 2.2. Geometry to solve for locations of collinear libration points in CR3BP using γ1, γ2, and γ3",pdf_caption_block,schematic,Collinear libration point geometry
2.3,2,Fig. 2.3,14,30,Figure 2.3. Relative locations of the ﬁve libration points as viewed in the rotating frame,pdf_caption_block,numeric,Relative locations of the five libration points
2.4,2,Fig. 2.4,16,32,Figure 2.4. Zero-Velocity Curves in the Earth-Moon system for (a) JC = 3.16 and (b) JC = 3.18.,pdf_caption_block,numeric,Earth-Moon zero-velocity curves for JC=3.16 and JC=3.18
2.5,2,Fig. 2.5,17,33,"Figure 2.5. Zero-Velocity Surface (ZVS) in the Earth-Moon system, JC = 3.16.",pdf_caption_block,numeric,Earth-Moon rotating frame
2.6,2,Fig. 2.6,18,34,Figure 2.6. ZVCs for JC = JCL2+JCL1,pdf_caption_block,numeric,"ZVC comparison for Earth-Moon, Saturn-Titan, and Sun-Earth"
2.7,2,Fig. 2.7,24,40,Figure 2.7. Decoupled out-of-plane (blue) and in-plane (red) varia- tions from the L1 point in the Earth-Moon system,pdf_caption_block,numeric,Linearized in-plane and out-of-plane variations at Earth-Moon L1
2.8,2,Fig. 2.8,24,40,"Figure 2.8. (a) 3D View, (b) ˆxˆy plane projection and (c) ˆyˆz plane projection of linearized Lissajous motion around the Earth-Moon L1 equilibrium point",pdf_caption_block,numeric,Linearized Lissajous motion around Earth-Moon L1
2.9,2,Fig. 2.9,29,45,Figure 2.9. Single shooting diﬀerential corrections targeting scheme,pdf_caption_block,schematic,Single-shooting differential corrections targeting
2.10,2,Fig. 2.10,31,47,Figure 2.10. Trajectory arcs in multiple shooting scheme,pdf_caption_block,schematic,Multiple-shooting trajectory arcs
2.11,2,Fig. 2.11,34,50,Figure 2.11. Initial guess (red) and converged solution (blue) in a perpendicular crossing diﬀerential corrections scheme for an Earth- Moon L2 Lyapunov orbit,pdf_caption_block,numeric,L2 Lyapunov initial guess and corrected solution
2.12,2,Fig. 2.12,39,55,Figure 2.12. (a) Natural parameter continuation and (b) pseudo- arclength continuation schemes,pdf_caption_block,schematic,Natural and pseudo-arclength continuation
2.13,2,Fig. 2.13,40,56,"Figure 2.13. L2 Lyapunov, Halo and Vertical orbits in the Jupiter- Europa system (µ = 2.528×10−5), constructed using pseudo-arclength continuation",pdf_caption_block,numeric,"Jupiter-Europa L2 Lyapunov, halo, and vertical families"
2.14,2,Fig. 2.14,43,59,Figure 2.14. Stable (blue) and unstable (red) manifold trajectories from an L1 Lyapunov orbit. The ZVCs for the Jacobi Constant (JC = 3.1827) of this orbit are deﬁned by the black curve.,pdf_caption_block,numeric,Stable and unstable manifolds from an L1 Lyapunov orbit
2.15,2,Fig. 2.15,45,61,Figure 2.15. Stability index for a subset of the Earth-Moon L2 halo family,pdf_caption_block,numeric,Stability index for Earth-Moon L2 halo family
3.1,3,Fig. 3.1,48,64,Figure 3.1. 2-dimensional torus deﬁned by the product of the red and blue circles,pdf_caption_block,schematic,Two-dimensional torus as product of two circles
3.2,3,Fig. 3.2,49,65,"Figure 3.2. 2-dimensional torus with the invariant curve (blue), the rotation angle ρ, and a single trajectory (yellow) propagated to the ﬁrst return to the invariant curve",pdf_caption_block,schematic,"Invariant curve, rotation angle, and return trajectory"
3.3,3,Fig. 3.3,49,65,"Figure 3.3. A set of 7 discretized states (yellow) on the invariant curve, represented by the blue circle. The invariant curve is associated with the stroboscopic map deﬁned at θ0. The initial location of the states is represented in (a). The ﬁrst return to the map, at time T0, is represented in (b), where the states have rotated by ρ. The nearby periodic orbit is represented by the ﬁxed point on the map.",pdf_caption_block,schematic,Seven-point discretized invariant curve mapping
3.4,3,Fig. 3.4,62,78,Figure 3.4. Representation of a patch curves along a torus used for a multiple shooting torus correction scheme,pdf_caption_block,schematic,Patch curves for multiple-shooting torus correction
3.5,3,Fig. 3.5,68,84,"Figure 3.5. Four quasi-halo tori projected into conﬁguration space in a constant energy family (JC = 3.1389) with the central periodic orbit in blue. The stroboscopic mapping times for each orbit are (a) 12.03 days, (b) 12.09 days, (c) 12.26 days, and (d) 12.40 days",pdf_caption_block,numeric,"Constant-energy quasi-halo tori, JC=3.1389"
3.6,3,Fig. 3.6,69,85,Figure 3.6. (a) y- and z-amplitude of the constant energy quasi-halo family for JC = 3.1389 in the Earth-Moon system as a function of the stroboscopic mapping time. (b) The amplitude ratio of the family.,pdf_caption_block,numeric,Constant-energy quasi-halo amplitudes
3.7,3,Fig. 3.7,70,86,"Figure 3.7. Four quasi-vertical tori projected into conﬁguration space in a constant energy family (JC = 3.1389) with the central periodic orbit in blue. The stroboscopic mapping times for each orbit are (a) 12.87 days, (b) 12.85 days, (c) 12.78 days, and (d) 12.66 days",pdf_caption_block,numeric,"Constant-energy quasi-vertical tori, JC=3.1389"
3.8,3,Fig. 3.8,71,87,Figure 3.8. (a) y- and z-amplitude of the constant energy quasi- vertical family for JC = 3.1389 in the Earth-Moon system as a func- tion of the stroboscopic mapping time. (b) The amplitude ratio of the family.,pdf_caption_block,numeric,Constant-energy quasi-vertical amplitudes
3.9,3,Fig. 3.9,71,87,Figure 3.9. Frequency ratio as a function of stroboscopic mapping time for a constant energy (a) quasi-halo family and (b) quasi-vertical family.,pdf_caption_block,numeric,Frequency ratio versus mapping time
3.10,3,Fig. 3.10,72,88,"Figure 3.10. Example of (a) a period-2 halo orbit, (b) a period-3 halo orbit, and (c) a period-8 halo orbit.",pdf_caption_block,numeric,"Period-2, period-3, and period-8 halo examples"
3.11,3,Fig. 3.11,73,89,Figure 3.11. (a) Poincar´e map at z = 0 for constant energy (JC = 3.1389) quasi-halo and quasi-vertical families. (b) 3D view of central periodic orbits and Poinca´e map of associated quasi-periodic orbit families.,pdf_caption_block,numeric,Poincare map and central periodic orbits
3.12,3,Fig. 3.12,76,92,Figure 3.12. Four quasi-halo tori projected into conﬁguration space in a constant frequency ratio family (ω0,pdf_caption_block,numeric,Constant-frequency quasi-halo tori
3.13,3,Fig. 3.13,77,93,Figure 3.13. (a) y- and z-amplitude of the frequency ratio family (ω0,pdf_caption_block,numeric,Constant-frequency quasi-halo amplitudes and Jacobi constant
3.14,3,Fig. 3.14,78,94,Figure 3.14. Four quasi-vertical tori projected into conﬁguration space in a constant frequency ratio family (ω0,pdf_caption_block,numeric,Constant-frequency quasi-vertical tori
3.15,3,Fig. 3.15,79,95,Figure 3.15. (a) Jacobi Constant and (b) mapping time as a function of orbit index of the constant frequency ratio quasi-vertical family (ω0,pdf_caption_block,numeric,Constant-frequency quasi-vertical Jacobi constant and mapping time
3.16,3,Fig. 3.16,82,98,"Figure 3.16. Four quasi-DRO tori projected into conﬁguration space in a constant mapping time family (T0 = 14.74 days) with the central periodic orbit in blue. The Jacobi Constants for each of these family members are (a) JC = 2.9225, (b) JC = 2.9221, (c) JC = 2.9215, and (d) JC = 2.9212",pdf_caption_block,numeric,Constant-mapping-time quasi-DRO tori
3.17,3,Fig. 3.17,83,99,"Figure 3.17. (a) Z-amplitude and (b) Jacobi Constant as a function of rotation angle, ρ, of the constant mapping time quasi-DRO family in the Earth-Moon system (T0 = 14.74 days)",pdf_caption_block,numeric,Quasi-DRO amplitude and Jacobi constant versus rotation angle
4.1,4,Fig. 4.1,86,102,Figure 4.1. (a) Earth-Moon L2 quasi-halo orbit (JC = 3.044) (b) Eigenstructure of DG matrix computed with N = 25.,pdf_caption_block,numeric,Earth-Moon L2 quasi-halo orbit and DG eigenstructure
