scope,target_id,field,status,current_value,evidence_path,sha256,notes
cover,cover,author_name,confirmed_by_user,兀文昊,reports/mccarthy2018_figure_comparison/delivery_fields.json,,用户于 2026-07-16 明确确认；配置驱动重建，未在 Word 中手改。
cover,cover,affiliation,confirmed_by_user,中国科学院大学,reports/mccarthy2018_figure_comparison/delivery_fields.json,,用户于 2026-07-16 明确确认；配置驱动重建，未在 Word 中手改。
cover,cover,adviser,confirmed_by_user,张晨,reports/mccarthy2018_figure_comparison/delivery_fields.json,,用户于 2026-07-16 明确确认；配置驱动重建，未在 Word 中手改。
registry,5.2,coordinate_system,resolved_from_repository_evidence,"无物理状态坐标系；局部二维示意绘图坐标（Sun=(0,0)、Moon=(5.6,0)），原点、轴向和历元不作为数值元数据",figures/fig_5_02.py,,只补全元数据，不提升复现等级或论文等价状态。
registry,5.3,coordinate_system,resolved_from_repository_evidence,"无物理状态坐标系；局部二维示意绘图坐标（Earth=(0,0)、Moon=(4.0,0)），原点、轴向和历元不作为数值元数据",figures/fig_5_03.py,,只补全元数据，不提升复现等级或论文等价状态。
registry,5.4,coordinate_system,resolved_from_repository_evidence,"无物理状态坐标系；局部二维日—地—月会合示意坐标（Sun=(0,0)），历元不适用",figures/fig_5_04.py,,只补全元数据，不提升复现等级或论文等价状态。
registry,5.6,coordinate_system,resolved_from_repository_evidence,月心瞬时 Sun–Moon 正交旋转坐标，X 指向 Sun、Z 为 Sun–Moon 轨道角动量方向，单位 km；共同历元 2020-06-15T00:00:00Z,figures/fig_5_06.py;src/qp_orbits/ephemeris.py;data/computed/chapter5_de421_quasi_dro_scenes.csv,,只补全元数据，不提升复现等级或论文等价状态。
registry,5.7,coordinate_system,resolved_from_repository_evidence,月心瞬时 Sun–Moon 正交旋转坐标，X 指向 Sun、Z 为 Sun–Moon 轨道角动量方向，单位 km；历元为 2020-06-01/04/10/15T00:00:00Z,figures/fig_5_07.py;src/qp_orbits/ephemeris.py;data/computed/chapter5_de421_quasi_dro_scenes.csv,,只补全元数据，不提升复现等级或论文等价状态。
registry,5.10,coordinate_system,resolved_from_repository_evidence,"Earth–Moon 质心旋转坐标，状态顺序 [x,y,z,xdot,ydot,zdot]，Earth–Moon LU/TU 归一化；项目 BCR4BP 扩展由 DE421 于 2020-06-15T00:00:00Z 初始化，论文自主 CR3BP 工况历元不适用",src/qp_orbits/bcr4bp.py;scripts/run_chapter5_fig510_bcr4bp_transfer_audit.py;data/computed/chapter5_fig510_bcr4bp_transfer_audit.csv,,只补全元数据，不提升复现等级或论文等价状态。
registry,2.1,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_1_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_1_comparison.png,62f1d2f69b9343ac7161532d674c97704b2b8bfd3e42314bbbcb53424dbba216,路径存在且哈希已记录。
registry,2.2,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_2_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_2_comparison.png,b73b5af17c6ac608c6886404bb64063374e82e532f451b08ea8a137ebd877ddb,路径存在且哈希已记录。
registry,2.3,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_3_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_3_comparison.png,d4e2bb2340ec2fe387e75f27de00aef348da73fb2486d2fdd799e7b6e0fa161e,路径存在且哈希已记录。
registry,2.4,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_4_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_4_comparison.png,e1273cfaedd9c492a1aaf8bd2a00f96f0c18165e96703c5408d9dc2f69da6b42,路径存在且哈希已记录。
registry,2.5,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_5_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_5_comparison.png,c7b0e854914184a1cbe55d43d094032145573f76e9b1687076c47e92fa0626f9,路径存在且哈希已记录。
registry,2.6,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_6_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_6_comparison.png,231a547bad6d30ef2a1b9db7362ac194a680a4e1dd144e5069fdc621e11cee1b,路径存在且哈希已记录。
registry,2.7,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_7_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_7_comparison.png,15957eff695db7613e3f590a95f1cd5382c3cc2bde91bb665a732bde19890cb6,路径存在且哈希已记录。
registry,2.8,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_8_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_8_comparison.png,66176b8e2dd8915a1dbf19864a5112252e83b772fe39dae2c246ba15d3dbad97,路径存在且哈希已记录。
registry,2.9,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_9_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_9_comparison.png,d54d12f5e82f58573f243f6de6a56a345e97d97e3d60cdacdb061962bb77eceb,路径存在且哈希已记录。
registry,2.10,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_10_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_10_comparison.png,ac5c49276ba51d011dacad6e6af79376c24d5f8c5cc9023ba6d490e2f162a620,路径存在且哈希已记录。
registry,2.11,comparison_asset,resolved_existing_asset,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_11_comparison.png,reports/mccarthy2018_figure_comparison/assets/comparison/fig_2_11_comparison.png,76a65f446222d2279afda1dc0a72c09153ea28bfc0795481212d96a5d0d02fa8,路径存在且哈希已记录。
