figure_id,previous_priority,repair_mode,source_truth_gate,metadata_gate,numerical_boundary_gate,artifact_gate,visual_hash_gate,presentation_correctness,full_paper_equivalence,uses_proxy,numerical_evidence,remaining_boundary,script,png,pdf,script_sha256,png_sha256,pdf_sha256
3.5,P0,rendering_and_anchor_boundary,true,true,true,true,true,pass,not_claimed,false,source-layer/boundary evidence is tracked by the per-figure audit,The 12.03-day paper y/z amplitude anchor is not matched.,figures/fig_3_05.py,outputs/figures_png/fig_3_5.png,outputs/figures_pdf/fig_3_5.pdf,A7D079E3055445E22B1DEC6D98D1084C6B2CBACB131E1A03A5C462FA66CF31F3,917E5B3C9A29430FED8EF98261A6EF889B81EA975EA47D1758338B1193A5F5BA,055C6528FDD445E975E0E822CBDF3D135CDDD7B7CC94C0A8C78A7813FA6A1B58
3.6,P0,quantitative_anchor_disclosure,true,true,true,true,true,pass,not_claimed,false,source-layer/boundary evidence is tracked by the per-figure audit,The full paper curves still require digitized pointwise comparison.,figures/fig_3_06.py,outputs/figures_png/fig_3_6.png,outputs/figures_pdf/fig_3_6.pdf,97A6D46099EEA2C3F74891CCEB283BB517BD961C06378B7B91D35D249D000368,074955D451C53400128F03A67FDFBB12FDE2D465714A9E0A83CCD93902A92BBB,0312FD92113D8275ECB28CD736E3A9FC5CC0FF3E858655738E6F597493BE11AF
3.7,P0,transparent_topology_boundary,true,true,true,true,true,pass,not_claimed,false,source-layer/boundary evidence is tracked by the per-figure audit,Late-family paper topology/projection is not matched.,figures/fig_3_07.py,outputs/figures_png/fig_3_7.png,outputs/figures_pdf/fig_3_7.pdf,52CBD9397ECD1932B6C802F3C344AF5CD35549F56AECBF516F16D38F7BA94455,AD66E57AF3BA7AE026EE203EC9C18ECCA053ECC7DD676891F66CC2B32B5D808C,A1B4779D26D9F23189A4911E29813C711CD828C78DFEE1AB3C94AC34DDB685CB
3.9,P1,proxy_tail_disclosure,true,true,true,true,true,pass,not_claimed,partial,source-layer/boundary evidence is tracked by the per-figure audit,The dashed halo tail is not a numerical continuation.,figures/fig_3_09.py,outputs/figures_png/fig_3_9.png,outputs/figures_pdf/fig_3_9.pdf,F372CA06A2E35BD53A30D670BB117D39C7684605686C637C636BE95231ECF6FB,23EFA3A4666F56EDE5D0B00C17124509B9D1A1955A068EA620933E711FC7A9E2,01B853A9437593F8763AEED7B111569C388E4A05F4AEC18A76FB6AF4CFED841F
3.10,P1,strict_vs_local_acceptance_split,true,true,true,true,true,pass,not_claimed,partial,q2/q3 strict pass; q8 strict fail retained,q=8 lacks strict full-period single-shoot closure.,figures/fig_3_10.py,outputs/figures_png/fig_3_10.png,outputs/figures_pdf/fig_3_10.pdf,BB8F6FDC4CB4E34953C19081C500334CB200C99B12858FBE6043CCB4703E9F2A,AAA114886629EC6586B90D42BFAEBDBBAC6129D0A8B6AABE9FB7EF0B9C32D8FC,BEA99D617114968D412345488181AE9E2F2A77B09620B7DA86557439BBD91208
3.11,P1,proxy_semantics_repaired,true,true,true,true,true,pass,not_claimed,partial,source-layer/boundary evidence is tracked by the per-figure audit,The illustrative section contours must be replaced by event-detected crossings.,figures/fig_3_11.py,outputs/figures_png/fig_3_11.png,outputs/figures_pdf/fig_3_11.pdf,3B749D333F2DE45C176EEFB630B2AE01FECC9612BF383356198370F9201EA50C,9E26F2742D5A37AED767C972D4741A6FA16BAD51857F1220E161A87E17A6E930,73F63D0A1449DC999E639E024918DC7B5799DB8621C63FA1C3F1BCB5407BD77E
3.12,P0,transparent_topology_boundary,true,true,true,true,true,pass,not_claimed,false,source-layer/boundary evidence is tracked by the per-figure audit,Panels (b)-(d) do not preserve the paper torus-hole topology.,figures/fig_3_12.py,outputs/figures_png/fig_3_12.png,outputs/figures_pdf/fig_3_12.pdf,47BCCAED64FA7A13AFFA5D32DD8A1EF8F8AEB84198859A591405367D5D3F78CA,54A0D3F2AD9330D04F352A8198217B14687F85F43DBD4FA31DA842FA316FFFF6,F35FD62167327DC6A81D0D4986C3CE1AD311FA1B7BEE4997E6EDF16C6764E794
3.13,P0,endpoint_coverage_boundary,true,true,true,true,true,pass,not_claimed,false,source-layer/boundary evidence is tracked by the per-figure audit,The numerical branch ends below the approximately 93000-km paper endpoint.,figures/fig_3_13.py,outputs/figures_png/fig_3_13.png,outputs/figures_pdf/fig_3_13.pdf,4646215797BFA241EF6D8DA2402E04FB7A8AC6BF5AF981EB861B1BD2AB0B5327,9C3C3EB16AC50220F1598F8F8A658B27681D9C94E21C1B8674D96AAC5FD2FAB1,D0C6A307AB5851530E16BC058C2959351A552D4BCB57891FB366D6355C9BB830
3.16,P0,source_and_renderer_repaired,true,true,true,true,true,pass,not_claimed,false,source-layer/boundary evidence is tracked by the per-figure audit,Route H does not cover the full thesis branch/range.,figures/fig_3_16.py,outputs/figures_png/fig_3_16.png,outputs/figures_pdf/fig_3_16.pdf,5B89A028286F72A34449E220B3CFBFFBB8DC5E6F775C321A6BC2573FCDF56819,20C90EDE957D8CEA83D8696DCA65D7D62BD9486721EB525525B08785B43553D4,8A9CAB6197AEF9572D993C0E3BA1390935B3E0DEA2053FD5B4AEB98FF7134EBD
3.17,P1,proxy_context_disclosure,true,true,true,true,true,pass,not_claimed,partial,source-layer/boundary evidence is tracked by the per-figure audit,Most of the thesis-scale trend remains proxy context.,figures/fig_3_17.py,outputs/figures_png/fig_3_17.png,outputs/figures_pdf/fig_3_17.pdf,E9D1127B57E383FB120E80329E7D3FA947BC201405D3E618ABC66654FD40F29B,BE2B05F899EAD281AEEA5A9A9280917D15AA608C16398187F68B66356B1C11EC,2341F9FE3713E0BB4915195CD3856E5C888B6F54EC41C8FD0E124C9D81B37526
