"figure_id","check_id","metric","current_value","paper_or_required_value","verdict","evidence_source"
"3.5","first_anchor_y","12.03 d y-amplitude [km]","33411.6656","34466","error=-1054.3344 km","data/computed/chapter3_corrected_constant_energy_halo_pseudo_arclength_family.csv; McCarthy thesis p.67 text"
"3.5","first_anchor_z","12.03 d z-amplitude [km]","25062.0832","28547","error=-3484.9168 km","data/computed/chapter3_corrected_constant_energy_halo_pseudo_arclength_family.csv; McCarthy thesis p.67 text"
"3.5","last_anchor_y","12.397983 d y-amplitude [km]","41820.6981","41815","error=+5.6981 km; endpoint amplitude is close","data/computed/research_halo_12p40_resolution_audit.csv; McCarthy thesis p.67 text"
"3.5","last_anchor_z","12.397983 d z-amplitude [km]","35772.4896","35783","error=-10.5104 km; endpoint amplitude is close","data/computed/research_halo_12p40_resolution_audit.csv; McCarthy thesis p.67 text"
"4.1","phase_width","maximum fixed-time invariant-curve coordinate span","1.9949e-8 nd = 0.00767 km","finite-thickness torus in paper panel (a)","geometry is effectively phase-degenerate","data/computed/chapter4_fig41_reported_precision_states.csv"
"4.3-4.6","frozen_projection","paper projection holdout pass count","0/4","4/4 required for paper projection acceptance","fail; preserve frozen boundary","data/computed/research_halo_12p40_resolution_audit.csv; staged gate artifacts"
"5.1","caption_semantics","panel progression implemented by script","1/8/18 phase curves on the same surface","one trajectory propagated for 325/1068/2182 days","implementation does not represent the paper caption","figures/fig_5_01.py; McCarthy thesis Fig. 5.1 caption"
"5.1","surface_second_phase","median secondary-phase span relative to main trajectory span","21.1404 km / 2033186.1567 km = 1.0398e-5","genuine two-frequency torus must have resolved second-phase width","stored 60x60 surface is effectively rank-one for display","data/computed/chapter5_sun_earth_l1_lissajous_torus_surface.csv"
"5.5","proxy_metadata","script proxy declaration vs registry","NOTES=Proxy thesis-scale torus; registry uses_proxy=false","metadata and renderer must agree","provenance inconsistency","figures/fig_5_05.py; reports/mccarthy2018_figure_comparison/figure_comparison_registry.csv"
"5.12","arrival_coverage","arrival-offset range [h]","[-24,+11]","approximately [-24,+24] in paper","right branch is missing","figures/fig_5_12.py; computed baseline; McCarthy thesis Fig. 5.12"
"5.12","delta_v_range","delta-V difference range [m/s]","[-6.0296,34.8438]","paper plot rises to approximately 220 m/s at left edge","large quantitative/coverage mismatch","computed earth_moon_nrho_transfer_baseline; paper panel visual read"
"5.13","old_scan_phase_sensitivity","mean std(theta1) / mean std(theta0)","1.0006e-5","order-one two-phase dependence expected from paper topology","old rendered source is practically invariant in theta1","data/computed/chapter5_sun_earth_l1_lissajous_stable_manifold_scan.csv"
"5.13","accepted_scan_phase_sensitivity","mean std(theta1) / mean std(theta0)","1.0311","renderer should use accepted active-geometry evidence","accepted source has genuine two-phase variation but is not read by fig_5_13.py","data/computed/chapter5_sun_earth_l1_active_geometry_stable_manifold_scan.csv; figures/fig_5_13.py"
"5.14","renderer_provenance","trajectory file read by renderer","chapter5_sun_earth_l1_lissajous_leo_transfer.csv","chapter5_active_geometry_leo_transfer.csv cited by current source audit","renderer and accepted evidence are disconnected","figures/fig_5_14.py; data/computed/chapter5_per_figure_source_layer_audit.csv"
