metric_id,target_id,priority_core,metric,paper_value_or_target,project_result,error_or_status,unit,evidence_artifact,evidence_type,verification_status,boundary
M0001,2.1,false,论文目标/关键物理量,Geometry in the three-body system and reference frames,frame definitions and primary geometry,proxy,见字段文本；未明确者【待核实】,reference schematic geometry,authoritative validation/per-figure audit,proxy,示意或代理层；不得写成定量数值复现
M0002,2.2,false,论文目标/关键物理量,Collinear libration point geometry,collinear point layout,proxy,见字段文本；未明确者【待核实】,reference schematic geometry,authoritative validation/per-figure audit,proxy,示意或代理层；不得写成定量数值复现
M0003,2.3,false,论文目标/关键物理量,"general CR3BP libration-point geometry; L1/L2/L3 on x-axis; L4/L5=(1/2-mu,+/-sqrt(3)/2)",CR3BP L1-L5 locations,boundary,见字段文本；未明确者【待核实】,data/computed/libration_points.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated CR3BP baseline
M0004,2.3,false,动力学/校正残差,原论文未报告（本项目验证指标）,root solve in libration point table,按当前审计阈值解释,见字段文本；未明确者【待核实】,data/computed/libration_points.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated CR3BP baseline
M0005,2.4,false,论文目标/关键物理量,Earth-Moon zero-velocity curves at JC=3.16 and JC=3.18,Jacobi zero velocity contours,boundary,见字段文本；未明确者【待核实】,CR3BP zero velocity grid,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated CR3BP baseline
M0006,2.5,false,论文目标/关键物理量,Earth-Moon rotating frame,rotating-frame axes and primaries,proxy,见字段文本；未明确者【待核实】,local rotating-frame schematic,authoritative validation/per-figure audit,proxy,示意或代理层；不得写成定量数值复现
M0007,2.6,false,论文目标/关键物理量,ZVC comparison: Earth-Moon mu=0.01215; Saturn-Titan mu=0.0002366; Sun-Earth mu=3.0035e-6,Jacobi zero velocity contours,boundary,见字段文本；未明确者【待核实】,CR3BP zero velocity grids across systems,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated CR3BP baseline
M0008,2.7,false,论文目标/关键物理量,Earth-Moon L1 decoupled in-plane and out-of-plane first-order modes; equations 2.61-2.66,planar and vertical linear modes,boundary,见字段文本；未明确者【待核实】,linearized L1 center modes,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated linear CR3BP baseline
M0009,2.8,false,论文目标/关键物理量,Earth-Moon L1 linear Lissajous motion coupling in-plane and out-of-plane modes; equations 2.67-2.72,linear mode amplitudes,boundary,见字段文本；未明确者【待核实】,linearized L1 Lissajous propagation,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated linear CR3BP baseline
M0010,2.9,false,论文目标/关键物理量,Single-shooting differential corrections targeting,single-shooting correction geometry,proxy,见字段文本；未明确者【待核实】,algorithm schematic,authoritative validation/per-figure audit,proxy,示意或代理层；不得写成定量数值复现
M0011,2.10,false,论文目标/关键物理量,Multiple-shooting trajectory arcs,multiple-shooting arc geometry,proxy,见字段文本；未明确者【待核实】,algorithm schematic,authoritative validation/per-figure audit,proxy,示意或代理层；不得写成定量数值复现
M0012,2.11,false,论文目标/关键物理量,"Earth-Moon L2 planar Lyapunov correction; x0=[x0,0,0,0,ydot0,0]; free variables=[x0,ydot0,T]; constraints=[y(T),xdot(T)]=0",L2 Lyapunov state; period; Jacobi,boundary,见字段文本；未明确者【待核实】,data/computed/lyapunov_l2_summary.csv,authoritative validation/per-figure audit,boundary,真实数值解与主要物理趋势受支持；严格论文等价仍有边界；当前未闭合项：Keep as validated periodic-orbit baseline
