figure_id,algorithm_status,image_status,algorithm_or_role,evidence,reason
2.1,schematic,correct_schematic,three-body reference-frame schematic,figures/fig_2_01.py,No numerical algorithm is claimed or required.
2.2,schematic,correct_schematic,collinear-point layout schematic,figures/fig_2_02.py,No numerical algorithm is claimed or required.
2.3,partial,not_algorithm_backed,libration-point geometry,figures/fig_2_03.py,The ordering and geometry are reasonable but the plotted coordinates are hard-coded rather than read from the libration-point solver.
2.4,success,correct,CR3BP zero-velocity contours,figures/fig_2_04.py,The Earth-Moon contours are evaluated from the CR3BP Jacobi field at JC 3.16 and 3.18.
2.5,schematic,correct_schematic,Earth-Moon rotating-frame schematic,figures/fig_2_05.py,No numerical algorithm is claimed or required.
2.6,success,correct,multi-system CR3BP zero-velocity contours,figures/fig_2_06.py,Earth-Moon Saturn-Titan and Sun-Earth contours use their actual mass parameters and solved L1/L2 values.
2.7,success,correct,linear planar and vertical center modes,figures/fig_2_07.py,The displayed motion is generated from the linearized Earth-Moon L1 center modes.
2.8,success,correct,linear Lissajous construction,figures/fig_2_08.py,The coupled in-plane and out-of-plane motion is generated from the linearized L1 modes.
2.9,schematic,correct_schematic,single-shooting correction layout,figures/fig_2_09.py,This is an explanatory schematic rather than a solver result.
2.10,schematic,correct_schematic,multiple-shooting arc layout,figures/fig_2_10.py,This is an explanatory schematic rather than a solver result.
2.11,success,correct_after_fix,L2 planar Lyapunov differential correction,data/computed/lyapunov_l2_summary.csv,The residual is 3.72e-12 and the red curve now uses the exact linear seed supplied to the corrector.
2.12,schematic,correct_schematic,natural and pseudo-arclength continuation layout,figures/fig_2_12.py,This is an explanatory schematic rather than continuation output.
2.13,success,correct,Jupiter-Europa L2 Lyapunov halo and vertical families,data/computed/jupiter_europa_l2_halo_family.csv;data/computed/jupiter_europa_l2_vertical_family.csv;data/computed/jupiter_europa_lyapunov_family.csv,All saved members are finite and maximum correction or periodicity errors remain below 4.12e-10.
2.14,success,correct,L1 Lyapunov monodromy and stable/unstable manifolds,data/computed/lyapunov_l1_manifold_summary.csv,JC differs from 3.1827 by 2.00e-6 and periodicity error is 2.34e-11.
2.15,success,correct,L2 halo/NRHO continuation and monodromy stability,data/computed/earth_moon_l2_halo_stability.csv,Live recomputation reproduced all 66 rows with maximum periodicity error 9.48e-10 and both stability anchors within 0.01.
3.1,schematic,correct_schematic,two-circle torus geometry,figures/fig_3_01.py,No numerical algorithm is claimed or required.
3.2,schematic,correct_schematic,invariant-curve rotation-map geometry,figures/fig_3_02.py,No numerical algorithm is claimed or required.
3.3,schematic,correct_schematic,seven-point invariant-curve mapping layout,figures/fig_3_03.py,The image is schematic; its separate CSV diagnostic does not make the drawing a numerical solution.
3.4,schematic,correct_schematic,patch-curve multiple-shooting layout,figures/fig_3_04.py,No numerical algorithm is claimed or required.
3.5,success,correct,constant-energy quasi-halo invariant-curve continuation,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,The 42-member corrected family has maximum curve residual 4.69e-10; matching the paper amplitude anchor is not required by this audit.
3.6,success,correct,constant-energy quasi-halo amplitude curves,data/computed/chapter3_corrected_constant_energy_halo_high_order_family.csv,The curves are calculated from the same converged numerical family without fabricated points.
3.7,partial,correct_with_explicit_boundary,constant-energy quasi-vertical torus surfaces,data/computed/figure_validation_table.csv,The corrected source exists but late-family rank closure and torus-topology acceptance are not yet established.
3.8,success,correct,constant-energy quasi-vertical continuation,data/computed/chapter3_corrected_constant_energy_vertical_staged_family.csv,The 103-member branch satisfies the project residual and energy-span gates and has monotone continuation trends.
3.9,partial,correct_with_explicit_boundary,frequency-ratio continuation,figures/fig_3_09.py,The solid segment is numerical but the dashed tail is explicitly an unvalidated analytic proxy.
3.10,partial,correct_with_explicit_boundary,period-q shooting,data/computed/chapter3_period_q_per_figure_audit.csv,q2 and q3 pass strict single shooting; q8 only passes local multiple shooting and fails full-period single-shoot closure.
3.11,partial,correct_with_explicit_boundary,Poincare-section construction,figures/fig_3_11.py,The 3D central orbits are numerical but the section contours are explicitly illustrative rather than event-detected crossings.
3.12,partial,topology_not_accepted,constant-frequency quasi-halo torus surfaces,data/computed/figure_validation_table.csv,Panels b through d do not yet pass the central-hole and two-angle torus-topology gate.
3.13,success,correct_on_computed_branch,constant-frequency quasi-halo continuation,data/computed/chapter3_corrected_constant_frequency_families.csv,The computed branch passes its residual and Jacobi-span gates; a longer paper endpoint is not required by this audit.
3.14,success,correct,constant-frequency quasi-vertical torus continuation,data/computed/chapter3_corrected_constant_frequency_families.csv,The four surfaces are genuine converged family members selected near the requested energies.
