figure_id,source_page,script,current_source_layer,current_repro_level,original_replacement_status,uses_proxy,primary_evidence,supporting_evidence,rendered_png,rendered_png_bytes,rendered_pdf,rendered_pdf_bytes,route_h_dependency,bcr4bp_dependency,optimization_dependency,accepted_rows,best_metric,boundary,next_action
5.1,96,figures/fig_5_01.py,corrected Sun-Earth L1 two-frequency Lissajous torus trajectories,numerical corrected Lissajous propagation reproduction,corrected_lissajous_torus_replaces_proxy_long_propagation_scene,false,data/computed/chapter5_sun_earth_l1_lissajous_torus_surface.csv,data/computed/chapter5_sun_earth_l1_lissajous_torus_audit.csv;data/computed/chapter5_sun_earth_l1_long_propagation_per_figure_audit.csv,outputs/figures_png/fig_5_1.png,416295,outputs/figures_pdf/fig_5_1.pdf,178866,none,none,none,1,accepted corrected Lissajous source rows 1; torus points 3600; curve residual 2.646101981500197e-11; Jacobi span 2.220446049250313e-15; max |y|/|z| 1016592.923818082/939484.302401125 km,The analytic torus and center-mode overlays are removed. Remaining boundaries are the source-torus y-amplitude excess and pointwise thesis comparison.,Reduce the corrected torus y-amplitude discrepancy and digitize the thesis panels for pointwise comparison.
5.2,98,figures/fig_5_02.py,mission-geometry schematic,proxy/schematic only,schematic_complete,true,geometry schematic,,outputs/figures_png/fig_5_2.png,87543,outputs/figures_pdf/fig_5_2.pdf,13167,none,none,none,0,N/A,No numerical source-layer is required for the current schematic role.,No numerical upgrade needed unless the thesis artwork must be redrawn exactly.
5.3,100,figures/fig_5_03.py,mission-geometry schematic,proxy/schematic only,schematic_complete,true,geometry schematic,,outputs/figures_png/fig_5_3.png,64008,outputs/figures_pdf/fig_5_3.pdf,12487,none,none,none,0,N/A,No numerical source-layer is required for the current schematic role.,No numerical upgrade needed unless the thesis artwork must be redrawn exactly.
5.4,101,figures/fig_5_04.py,mission-geometry schematic,proxy/schematic only,schematic_complete,true,geometry schematic,,outputs/figures_png/fig_5_4.png,205910,outputs/figures_pdf/fig_5_4.pdf,17825,none,none,none,0,N/A,No numerical source-layer is required for the current schematic role.,No numerical upgrade needed unless the thesis artwork must be redrawn exactly.
5.5,102,figures/fig_5_05.py,corrected DRO and quasi-DRO return CR3BP baseline,physical-consistency baseline,baseline_not_high_fidelity_replacement,false,data/computed/chapter5_corrected_dro_quasi_dro_return.csv,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv,outputs/figures_png/fig_5_5.png,556878,outputs/figures_pdf/fig_5_5.pdf,142885,supporting upstream only,none,none,30,Route H member 54 max |z| 14573.10318409037 km; residual <= 6.469474407020314e-10,CR3BP return evidence does not yet provide a corrected ephemeris/BCR4BP trajectory replacement.,Promote only after a corrected ephemeris or BCR4BP return arc is accepted for this specific figure.
5.6,103,figures/fig_5_06.py,Route H quasi-DRO embedded in DE421-oriented Sun-Moon frame,Route H / DE421 geometry baseline,source_layer_baseline_not_full_ephemeris_replacement,false,data/computed/chapter5_de421_quasi_dro_scenes.csv,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv;data/computed/chapter5_upstream_application_gate_audit.csv,outputs/figures_png/fig_5_6.png,588057,outputs/figures_pdf/fig_5_6.pdf,124247,accepted Route H upstream member,none,none,30,Route H member 54 max |z| 14573.10318409037 km; residual <= 6.469474407020314e-10,"DE421-oriented frame embedding is a geometry baseline, not a fully corrected ephemeris shooting solution.",Add ephemeris/BCR4BP defect correction before claiming original application-figure replacement.
5.7,104,figures/fig_5_07.py,Route H quasi-DRO eclipse/occultation scene in DE421-oriented frame,Route H / DE421 geometry baseline,source_layer_baseline_not_full_ephemeris_replacement,false,data/computed/chapter5_de421_quasi_dro_scenes.csv,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv;data/computed/chapter5_upstream_application_gate_audit.csv,outputs/figures_png/fig_5_7.png,595585,outputs/figures_pdf/fig_5_7.pdf,119522,accepted Route H upstream member,none,none,30,Route H member 54 max |z| 14573.10318409037 km; residual <= 6.469474407020314e-10,"DE421-oriented event geometry is available, but not a fully corrected ephemeris trajectory.",Add ephemeris/BCR4BP defect correction before claiming original application-figure replacement.
5.8,106,figures/fig_5_08.py,Earth-Moon halo-to-Lyapunov CR3BP baseline plus separate Route H/BCR4BP optimized-transfer source layer,CR3BP endpoint-corrected halo-Lyapunov transfer audit,endpoint_corrected_cr3bp_not_high_fidelity_replacement,partial,data/computed/chapter5_earth_moon_halo_lyapunov_transfer_baseline.csv,data/computed/chapter5_halo_lyapunov_transfer_per_figure_audit.csv;data/computed/chapter5_bcr4bp_dynamics_audit.csv;data/computed/chapter5_bcr4bp_segment_correction_audit.csv;data/computed/chapter5_optimized_transfer_audit.csv,outputs/figures_png/fig_5_8.png,470710,outputs/figures_pdf/fig_5_8.pdf,231145,accepted Route H upstream member for separate source-layer figure,4 dynamics audit rows; 3 correction rows,25 accepted optimized transfer rows,1,accepted CR3BP halo-Lyapunov transfer rows 1; total delta-v 294.6245071767839 m/s; endpoint error 2.083434735432931e-06 km; continuity 9.280132972015876e-12; Jacobi span 2.472244631235299e-12; boundary Jacobi difference 0,Per-figure endpoint-corrected CR3BP equal-Jacobi transfer row is accepted; the separate Route H/BCR4BP optimized source layer is still not a direct original Fig. 5.8 replacement.,Promote further only after BCR4BP/ephemeris correction or original thesis transfer data are mapped to this specific Fig. 5.8 geometry.
5.9,107,figures/fig_5_09.py,Earth-Moon corrected periodic-NRHO family with transfer departure markers,CR3BP corrected periodic-family reproduction,corrected_periodic_nrho_family_replaces_linear_corridor_proxy,false,data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,data/computed/chapter5_nrho_corridor_per_figure_audit.csv;data/computed/chapter5_bcr4bp_dynamics_audit.csv;data/computed/chapter5_bcr4bp_segment_correction_audit.csv;data/computed/chapter5_optimized_transfer_audit.csv,outputs/figures_png/fig_5_9.png,272126,outputs/figures_pdf/fig_5_9.pdf,150382,indirect only,available as separate source-layer audit,available as separate source-layer audit,2,accepted CR3BP periodic-family marker rows 2; corrected family members 16; maximum periodicity error 1.691798846699935e-10; best total delta-v 47.73443414309953 m/s; worst endpoint error 2.336264914251333e-05 km; max Jacobi span 5.092193333666728e-11; perilune radii 4800.000000000002 / 12610 km,The linear corridor proxy is removed. The displayed family is corrected CR3BP periodic NRHOs; BCR4BP/ephemeris correction and pointwise thesis comparison remain pending.,Correct representative family members in BCR4BP/ephemeris and compare the family geometry pointwise with the thesis panel.
5.10,108,figures/fig_5_10.py,Earth-Moon NRHO direct-transfer CR3BP baseline,CR3BP endpoint-corrected NRHO transfer audit,endpoint_corrected_cr3bp_not_high_fidelity_replacement,false,data/computed/chapter5_earth_moon_nrho_transfer_baseline.csv,data/computed/chapter5_nrho_transfer_per_figure_audit.csv;data/computed/chapter5_bcr4bp_dynamics_audit.csv;data/computed/chapter5_bcr4bp_segment_correction_audit.csv;data/computed/chapter5_optimized_transfer_audit.csv,outputs/figures_png/fig_5_10.png,319371,outputs/figures_pdf/fig_5_10.pdf,23033,indirect only,available as separate source-layer audit,available as separate source-layer audit,2,accepted CR3BP direct-shooting rows 2; best total delta-v 47.73443414309953 m/s; worst endpoint error 2.336264914251333e-05 km; max Jacobi span 5.092193333666728e-11,"Per-figure endpoint-corrected CR3BP transfer rows are accepted, but the figure is not yet a BCR4BP/ephemeris high-fidelity thesis replacement.",Promote further only after the specific Fig. 5.10 transfer is corrected in BCR4BP/ephemeris and compared to thesis delta-v.
