scope,gate_id,requirement,status,metric,value,threshold,evidence_artifact,decision,notes
chapter3,C3-FIGURE-SOURCE-FRONTIER,"Fixed-time Fig. 3.16/3.17 source branch must have accepted, independently auditable evidence above 10,500 km.",pass,figure_source_frontier_max_abs_z_km,14573.10318409037,>= 10500.0,data/computed/chapter3_fixed_mapping_cache_audit.csv;data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv,figure_update_allowed,Experimental routes beyond this value are excluded unless they preserve the original fixed-time figure-source gate semantics.
chapter3,C3-EXPERIMENTAL-FRONTIER,Track the best local/diagnostic fixed-time amplitude even when it is not a figure source.,informational,experimental_frontier_max_abs_z_km,10293.6651410641,not a figure-source threshold,data/computed/chapter3_multi_coordinate_palc_continuation.csv,diagnostic_only,Includes turn-aware and full-vector PALC rows that do not unlock downstream figure regeneration.
chapter3,C3-ROUTE-A,Part 5 monotone-rho campaign must survive independent revalidation and all gates.,fail,best_revalidated_max_abs_z_km,N/A,>= 10500.0,data/computed/chapter3_integrated_breakthrough_revalidation.csv,bounded_route,Best campaign CSV acceptance was 10272.24671170378; independent revalidation does not support a figure update.
chapter3,C3-ROUTE-C-E,"Turn-aware/full-vector PALC must exceed 10,500 km and preserve audit semantics before downstream use.",fail,best_diagnostic_palc_max_abs_z_km,10293.6651410641,>= 10500.0,data/computed/chapter3_turn_aware_amplitude_revalidation.csv;data/computed/chapter3_multi_coordinate_palc_continuation.csv,diagnostic_only,Rows are useful local evidence but remain below the required minimum and do not preserve original rho monotonicity semantics.
chapter3,C3-ROUTE-D-G,"Free-time high-amplitude states must project back to fixed-time accepted members above 10,500 km.",fail,best_accepted_projection_max_abs_z_km,N/A,>= 10500.0,data/computed/chapter3_free_time_fixed_time_projection_audit.csv;data/computed/chapter3_variable_time_fixed_time_projection_audit.csv,bounded_projection_routes,Best non-accepted variable-time trial was 19139.14194876293; trial amplitude is not accepted evidence.
chapter3,C3-ROUTE-H,Fixed-mapping cache candidates must pass the current seven-gate audit before becoming figure-source data.,pass,best_strict_cache_max_abs_z_km,14573.10318409037,>= 10500.0,data/computed/chapter3_fixed_mapping_cache_audit.csv;data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter3_fixed_mapping_cache_accepted_validation.csv,use_route_h_for_chapter3_source,Best exported validation max abs z is 14573.10318409037; accepted cache family is monotone-filtered.
chapter3,C3-ROUTE-H-COLD-START,"The fixed-mapping Route H family must be reproducible from current code and initial conditions in an isolated cache, not only loadable from a historical pickle.",fail,cold_start_member_count,19,"full targets 2.9221,2.9215,2.9212 reached; status=pass",data/computed/chapter3_fixed_mapping_cold_start_full_audit.csv;data/computed/chapter3_fixed_mapping_cold_start_full_attempts.csv,repair_fixed_mapping_cold_start_continuation,Cold-start status is fail; last mean Jacobi is 2.922282866714092; failure reason is RuntimeError: Fixed-mapping rotation continuation lost monotonic direction at JC=2.9222828. The historical Route H artifact remains auditable but is not an end-to-end reproducible source.
chapter3,C3-ROUTE-H-JACOBI-TARGET-COVERAGE,The Route H reconstruction must cover all four Fig. 3.16 fixed-time Jacobi anchors within the precision reported by the paper.,pass,fixed_time_jacobi_targets_at_paper_precision,4,"4/4; time <= 0.005 day and Jacobi <= 5e-5, with numerical residual gates",data/computed/chapter3_route_h_jacobi_target_audit.csv;docs/chapter3_route_h_jacobi_target_audit.md;data/computed/chapter3_route_h_fixed_time_target_coverage_audit.csv;docs/chapter3_route_h_fixed_time_target_coverage_audit.md,route_h_thesis_jacobi_range_covered,Strict fixed-time rows: 3/4; paper-reported-precision rows: 4/4; raw cold-start checkpoint target rows: 4. The historical cache also remains source-layer evidence only; cache length and maximum amplitude do not prove parameter-range coverage.
chapter3,C3-ROUTE-H-HYBRID-COLD-START,"A zero-cache Route H checkpoint may cross its controlled fold through the explicit free-time bridge, pointwise-energy time homotopy, and spectral-lift reconstruction chain.",pass,hybrid_fixed_time_targets_at_paper_precision,4,4/4 plus zero-start checkpoint hash and numerical residual gates,data/computed/chapter3_route_h_hybrid_cold_start_audit.csv;docs/chapter3_route_h_hybrid_cold_start_audit.md,use_hybrid_route_h_cold_start_chain,Checkpoint members: 19; strict targets: 3/4; the monolithic continuation failure remains preserved as negative evidence.
chapter3,C3-PERIOD-Q-PER-FIGURE-AUDIT,Fig. 3.10 period-q audit must separate strict single-shoot periodic rows from the q=8 local multiple-shooting boundary.,pass,strict_single_shoot_rows,2,>= 2 strict rows and >= 3 local multiple-shooting rows,data/computed/chapter3_period_q_per_figure_audit.csv;docs/chapter3_period_q_per_figure_audit.md,use_period_q_boundary_audit,Local multiple-shooting rows: 3; q8 full-period single-shoot closure error: 3.906984451743337. Passing this gate preserves the q8 boundary and does not promote q8 to robust single-shoot closure.
chapter4,C4-UPSTREAM-TORUS-DATA,Chapter 4 torus-scale DG/manifold figures require accepted Chapter 3 high-amplitude torus data.,ready_for_regeneration,chapter3_figure_source_frontier_max_abs_z_km,14573.10318409037,>= 10500.0,data/computed/chapter3_fixed_mapping_cache_accepted_family.csv;data/computed/chapter4_route_h_quasi_dro_dg.csv;data/computed/chapter4_route_h_quasi_dro_manifold_probe.csv;data/computed/chapter4_per_figure_source_layer_audit.csv;outputs/figures_png/fig_4_route_h.png,regenerate_chapter4_from_route_h_source,Route H provides accepted high-amplitude fixed-time torus data; Chapter 4 can now be regenerated from this source.
chapter4,C4-ROUTE-H-DG-MANIFOLD,Accepted Route H quasi-DRO corrections must convert to nearly-real hyperbolic DG directions and local manifold probes with symplectic/energy consistency before downstream use.,not_run_or_fail,worst_selected_eigen_relative_imaginary,0.6242638760846673,<= 1e-6; determinant < 1e-9; reciprocity < 1e-8; Jacobi drift < 1e-10,data/computed/chapter4_route_h_quasi_dro_dg.csv;data/computed/chapter4_route_h_quasi_dro_manifold_probe.csv;data/computed/chapter4_real_hyperbolic_scan.csv,run_chapter4_route_h_dg_manifold_audit,"Worst scanned hyperbolic relative imaginary part is 0.6242638760846673; worst determinant error is 2.391420395042587e-13; worst manifold Jacobi drift is 8.881784197001252e-16. Real-hyperbolic coverage is 1/31 members; at least 3 members spanning 2,000 km are required. This is a source-layer audit, not a completed thesis-scale global manifold replacement."
