claim_id,claim_text,supporting_cases,supporting_csv,supporting_figure,acceptance_threshold,status,limitation
C01,54 图实现完整工程覆盖，但不是整篇 McCarthy 2018 严格等价复现。,54 reproduction targets,data/computed/reproduction_baseline_v1_summary.csv,,frozen evidence labels retained,supported_with_boundary,7 accepted; 30 boundary; 5 diagnostic; 12 proxy
C02,Benchmark 含 15 案例、4 类轨道族和 3 种方法。,all registry cases,research/invariant_bundles/benchmarks/benchmark_registry.csv;research/invariant_bundles/results/csv/method_comparison.csv,figures/fig_bundle_method_summary.png,15 registry rows; 45 method rows,supported,有限案例集，不是轨道族穷举
C03,Pointwise eig 为 0/15 通过；Schur 为 7 通过、4 边界、4 失败；QR/SVD 为 10 通过、5 失败。,all 15 cases,research/invariant_bundles/results/csv/method_comparison.csv,figures/fig_bundle_method_summary.png,max residual <=1e-6 accepted; <=1e-3 boundary absent other failure,supported,研究层状态不能提升冻结复现等级
C04,Halo N45、Vertical N57、Sun–Earth 468 上两种改进方法均通过，并显著降低 cocycle 残差。,em_halo_12p40_n45;em_vertical_12p66_n57;se_active_geometry_member_468,research/invariant_bundles/results/csv/method_comparison.csv,figures/fig_phase_continuity_profiles.png,max residual <=1e-6,supported,仅三个高分辨率锚点
C05,MATLAB R2024a 独立 real-Schur 后端在 12 个关键案例上维数、分类和状态全部一致。,12 independent-backend cases,research/invariant_bundles/results/csv/independent_schur_backend_comparison.csv,,principal angle <=1e-4 deg and exact categorical agreement,supported,最大主角 2.561e-06 deg；有限离散算子验证
C06,四个 physical Route H QR/SVD 失败分类为 no_accepted_1d_bundle；legacy 68 为 method_initialization_sensitive。,route_h_member_17;route_h_member_32;route_h_member_54;route_h_member_68;route_h_member_68_legacy_dg_positive,research/invariant_bundles/results/csv/qr_svd_failure_classification.csv,figures/fig_route_h_rho_control.png,3 initializations; caps 200/500/1000; native N45 and diagnostic N67; 80-digit residual recomputation,supported_with_bounded_scope,不是所有算法/分辨率上的不可能性证明
C07,仅符号/相位对齐不能修复点式 eig 的 cocycle 语义错误。,5 ablation cases,research/invariant_bundles/results/csv/ablation_study.csv,figures/ablation_bundle_residual.png;figures/ablation_phase_continuity.png,frozen residual thresholds,supported,消融限于 5 案例×7 变体
C08,Schur 相位跟踪改善 Route H 二维子空间表示，但没有产生可接受的一维 bundle。,route_h_member_32;route_h_member_68,research/invariant_bundles/results/csv/ablation_study.csv,figures/ablation_bundle_residual.png,dimension semantics retained; max residual <=1e-6 for acceptance,supported,改善不等于通过
C09,Stage F 保存 126 行流形结果，其中 36 行通过、90 行失败，失败行未隐藏。,7 manifold cases,research/invariant_bundles/results/csv/manifold_convergence.csv,figures/fig_manifold_method_metrics.png,"source, bundle, integration, geometry gates all satisfied",supported,一维不稳定子束和固定传播窗
C10,局部 bundle 收敛不保证低分辨率全局 manifold sheet 通过 0.01 几何门槛。,Halo N21/N33/N45;Vertical N33/N45/N57,research/invariant_bundles/results/csv/manifold_convergence.csv,figures/fig_halo_manifold_displacement_sheets.png,cross-resolution normalized 3D distance <=0.01,supported,有限传播时间和采样网格
C11,全新进程重跑的 5301 项科学检查全部通过且最大科学数值相对差为 0。,15 bundle cases;7 manifold cases,research/invariant_bundles/independent_rerun/comparison_to_stage_f.csv,,numeric atol=1e-12 rtol=1e-8; exact categorical agreement,supported,实现可重复性不等于论文正确性或投稿条件
C12,Physical corrected-rho Route H 是二维实共轭子空间/失败；legacy seed-rho 是一维/通过正控制。,route_h physical 17/32/54/68;legacy 68,research/invariant_bundles/results/csv/independent_schur_backend_comparison.csv;research/invariant_bundles/results/csv/method_comparison.csv,figures/fig_route_h_rho_control.png,independent dimension and status agreement,supported,legacy 控制不能替代物理算子
C13,Chapter 4 projection holdout 保持 0/4，paper_projection=fail，paper_3d=false。,Fig.4.3-4.6 frozen holdout panels,data/computed/chapter4_fig43_fig46_projection_holdout_audit.csv,,all frozen camera/epsilon/crop thresholds,supported_negative,任何研究后验结果都不得覆盖
C14,论文定位为数值框架与系统比较，而非方法学首创。,25 verified formal references;all experimental stages,research/invariant_bundles/paper/literature_matrix.csv,,9 required literature topics covered; no fabricated DOI,supported,文献矩阵不是穷尽性系统综述
C15,当前材料可供导师完整评审，但不声明已经达到投稿条件。,all,research/invariant_bundles/paper_release/claim_evidence_matrix.csv,,explicit limitations and unresolved questions retained,supported_with_boundary,需补稳定子束、二维流形、长事件传播和期刊定位
