figure_id,source_page,pdf_page,figure_type,title,script,acceptance_tier,target_status,paper_targets,source_type,current_repro_level,uses_proxy,validation_artifact,next_action
2.1,8,24,schematic,Geometry in the three-body system and reference frames,figures/fig_2_01.py,V0,schematic_semantics_recorded,Geometry in the three-body system and reference frames,explicit,proxy/schematic only,true,reference schematic geometry,No numerical upgrade needed unless thesis artwork must be redrawn
2.2,14,30,schematic,Collinear libration point geometry,figures/fig_2_02.py,V0,schematic_semantics_recorded,Collinear libration point geometry,explicit,proxy/schematic only,true,reference schematic geometry,No numerical upgrade needed beyond visual cleanup
2.3,14,30,numeric,Relative locations of the five libration points,figures/fig_2_03.py,V2,explicit_parameters_recorded,"general CR3BP libration-point geometry; L1/L2/L3 on x-axis; L4/L5=(1/2-mu,+/-sqrt(3)/2)",explicit,numerical reproduction,false,data/computed/libration_points.csv,Keep as validated CR3BP baseline
2.4,16,32,numeric,Earth-Moon zero-velocity curves for JC=3.16 and JC=3.18,figures/fig_2_04.py,V2,explicit_parameters_recorded,Earth-Moon zero-velocity curves at JC=3.16 and JC=3.18,explicit,numerical reproduction,false,CR3BP zero velocity grid,Keep as validated CR3BP baseline
2.5,17,33,schematic,Earth-Moon rotating frame,figures/fig_2_05.py,V0,schematic_semantics_recorded,Earth-Moon rotating frame,explicit,proxy/schematic only,true,local rotating-frame schematic,No numerical upgrade needed unless exact thesis artwork is required
2.6,18,34,numeric,"ZVC comparison for Earth-Moon, Saturn-Titan, and Sun-Earth",figures/fig_2_06.py,V2,explicit_parameters_recorded,ZVC comparison: Earth-Moon mu=0.01215; Saturn-Titan mu=0.0002366; Sun-Earth mu=3.0035e-6,explicit,numerical reproduction,false,CR3BP zero velocity grids across systems,Keep as validated CR3BP baseline
2.7,24,40,numeric,Linearized in-plane and out-of-plane variations at Earth-Moon L1,figures/fig_2_07.py,V2,explicit_parameters_recorded,Earth-Moon L1 decoupled in-plane and out-of-plane first-order modes; equations 2.61-2.66,explicit,numerical reproduction,false,linearized L1 center modes,Keep as validated linear CR3BP baseline
2.8,24,40,numeric,Linearized Lissajous motion around Earth-Moon L1,figures/fig_2_08.py,V2,explicit_parameters_recorded,Earth-Moon L1 linear Lissajous motion coupling in-plane and out-of-plane modes; equations 2.67-2.72,explicit,numerical reproduction,false,linearized L1 Lissajous propagation,Keep as validated linear CR3BP baseline
2.9,29,45,schematic,Single-shooting differential corrections targeting,figures/fig_2_09.py,V0,schematic_semantics_recorded,Single-shooting differential corrections targeting,explicit,proxy/schematic only,true,algorithm schematic,No numerical upgrade needed
2.10,31,47,schematic,Multiple-shooting trajectory arcs,figures/fig_2_10.py,V0,schematic_semantics_recorded,Multiple-shooting trajectory arcs,explicit,proxy/schematic only,true,algorithm schematic,No numerical upgrade needed
2.11,34,50,numeric,L2 Lyapunov initial guess and corrected solution,figures/fig_2_11.py,V2,explicit_parameters_recorded,"Earth-Moon L2 planar Lyapunov correction; x0=[x0,0,0,0,ydot0,0]; free variables=[x0,ydot0,T]; constraints=[y(T),xdot(T)]=0",explicit,numerical reproduction,false,data/computed/lyapunov_l2_summary.csv,Keep as validated periodic-orbit baseline
2.12,39,55,schematic,Natural and pseudo-arclength continuation,figures/fig_2_12.py,V0,schematic_semantics_recorded,Natural and pseudo-arclength continuation,explicit,proxy/schematic only,true,continuation schematic,No numerical upgrade needed
2.13,40,56,numeric,"Jupiter-Europa L2 Lyapunov, halo, and vertical families",figures/fig_2_13.py,V2,explicit_parameters_recorded,"Jupiter-Europa L2 Lyapunov, halo, and vertical families; mu=2.528e-5",explicit,physical-consistency baseline,false,data/computed/jupiter_europa_l2_*_family.csv,Compare against thesis branch amplitudes if source values are found
2.14,43,59,numeric,Stable and unstable manifolds from an L1 Lyapunov orbit,figures/fig_2_14.py,V2,explicit_parameters_recorded,Earth-Moon L1 Lyapunov stable/unstable manifolds; JC=3.1827,explicit,numerical reproduction,false,data/computed/lyapunov_l1_manifold_summary.csv,Keep as validated periodic-manifold baseline
2.15,45,61,numeric,Stability index for Earth-Moon L2 halo family,figures/fig_2_15.py,V2,explicit_parameters_recorded,Earth-Moon L2 halo-family stability index; nu=(abs(lambda_max)+1/abs(lambda_max))/2; stable nu=1; unstable nu>1,explicit,numerical reproduction,false,data/computed/earth_moon_l2_halo_stability.csv,Keep branch and add exact thesis data if available
3.1,48,64,schematic,Two-dimensional torus as product of two circles,figures/fig_3_01.py,V0,schematic_semantics_recorded,Two-dimensional torus as product of two circles,explicit,proxy/schematic only,true,torus schematic,No numerical upgrade needed
3.2,49,65,schematic,"Invariant curve, rotation angle, and return trajectory",figures/fig_3_02.py,V0,schematic_semantics_recorded,"Invariant curve, rotation angle, and return trajectory",explicit,proxy/schematic only,true,invariant-curve schematic,No numerical upgrade needed
