gate_id,category,requirement,status,observed,evidence,boundary,source_git_commit
R1,reproduction_baseline,baseline document complete,pass,baseline v1 present,docs/reproduction_baseline_v1.md;data/computed/reproduction_baseline_v1_manifest.csv,not thesis-wide equivalence,95a606ef75888fcef7f4d8cb2eedb120efc13b22
R2,reproduction_baseline,authority and architecture clear,pass,three layers and two authority chains documented,docs/repository_architecture.md;docs/project_index.md,research cannot promote reproduction,95a606ef75888fcef7f4d8cb2eedb120efc13b22
R3,reproduction_baseline,54-figure smoke,pass,54 PNG; 54 PDF,scripts/validate_reproduction_smoke.py,54/54 engineering coverage only,95a606ef75888fcef7f4d8cb2eedb120efc13b22
R4,reproduction_baseline,environment reconstructable,pass,lock and import check present,environment-lock.yml;docs/reproducible_environment.md;pyproject.toml,direct tested dependencies only,95a606ef75888fcef7f4d8cb2eedb120efc13b22
R5,reproduction_baseline,Stage B gaps and controls concluded,pass,complete_with_negative_and_boundary_results,data/computed/chapter4_invariant_bundle_stage_b_conclusion.csv;docs/chapter4_invariant_bundle_stage_b_conclusion.md,negative/boundary completion allowed,95a606ef75888fcef7f4d8cb2eedb120efc13b22
C1,research_code,independent research architecture,pass,"configs, benchmarks, experiments, results, figures, tests, paper",research/invariant_bundles/,read-only reproduction inputs,95a606ef75888fcef7f4d8cb2eedb120efc13b22
C2,research_code,benchmark registry coverage,pass,15 cases; 4 families,research/invariant_bundles/benchmarks/benchmark_registry.csv,physical and legacy Route-H controls separated,95a606ef75888fcef7f4d8cb2eedb120efc13b22
C3,research_code,traditional plus two improved methods,pass,3 methods implemented,src/qp_orbits/invariant_bundles.py;research/invariant_bundles/experiments/,2-D complex pair is not 1-D,95a606ef75888fcef7f4d8cb2eedb120efc13b22
C4,research_code,unit tests pass,pass,96 tests,tests/;final_verification_log.json,failed/boundary regression rows retained,95a606ef75888fcef7f4d8cb2eedb120efc13b22
N1,numerical_experiments,repeatable multi-case advantage,pass,Schur accepted=7; QR accepted=10,research/invariant_bundles/results/csv/method_comparison.csv,Route H failures retained,95a606ef75888fcef7f4d8cb2eedb120efc13b22
N2,numerical_experiments,at least three manifold groups,pass,7 cases; 3 families,research/invariant_bundles/results/csv/manifold_convergence.csv,unstable 1-D scope,95a606ef75888fcef7f4d8cb2eedb120efc13b22
N3,numerical_experiments,"phase, N, bundle, manifold evidence",pass,all four evidence types stored in CSV/NPZ,research/invariant_bundles/results/,figure is not authority,95a606ef75888fcef7f4d8cb2eedb120efc13b22
N4,numerical_experiments,positive and negative results saved,pass,bundle fail=24; manifold fail=90,research/invariant_bundles/results/csv/method_comparison.csv;research/invariant_bundles/results/csv/manifold_convergence.csv,no hidden failures,95a606ef75888fcef7f4d8cb2eedb120efc13b22
P1,paper_materials,manuscript complete,pass,13 required sections,research/invariant_bundles/paper/manuscript.md,external citations pending verification,95a606ef75888fcef7f4d8cb2eedb120efc13b22
P2,paper_materials,"abstract, contribution, plan, limitations",pass,all required files present,research/invariant_bundles/paper/abstract.md;research/invariant_bundles/paper/contributions.md;research/invariant_bundles/paper/figure_plan.md;research/invariant_bundles/paper/tables.md;research/invariant_bundles/paper/limitations.md;research/invariant_bundles/paper/claim_evidence_matrix.csv;research/invariant_bundles/paper/paper_build_manifest.json,"framework claim, not new theory",95a606ef75888fcef7f4d8cb2eedb120efc13b22
P3,paper_materials,major figures and tables generated,pass,6 figures; 12 PNG/PDF artifacts,research/invariant_bundles/figures/research_figure_manifest.csv;research/invariant_bundles/paper/tables.md,paper conclusions independent of 54-figure equivalence,95a606ef75888fcef7f4d8cb2eedb120efc13b22
